model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,exploration ratio
AbstractFuelControl_M1,"□_[11.0, 50.0] ((((throttle < 8.8) && ◇_[0.0, 0.05] (40.0 < throttle)) || ((40.0 < throttle) && ◇_[0.0, 0.05] (throttle < 8.8))) ==> □_[1.0, 5.0] (abs(mu) < 0.008))","uniform random",7074376777861726470,100.0,180.0,2.503180359718568E-4,no,10,100,
AbstractFuelControl_M1,"□_[11.0, 50.0] ((((throttle < 8.8) && ◇_[0.0, 0.05] (40.0 < throttle)) || ((40.0 < throttle) && ◇_[0.0, 0.05] (throttle < 8.8))) ==> □_[1.0, 5.0] (abs(mu) < 0.008))",adaptive,0,4.0,7.0,-4.525039857681337E-4,yes,"10 10 10 10 10",100,0.25
AbstractFuelControl_M1,"□_[11.0, 50.0] ((((throttle < 8.8) && ◇_[0.0, 0.05] (40.0 < throttle)) || ((40.0 < throttle) && ◇_[0.0, 0.05] (throttle < 8.8))) ==> □_[1.0, 5.0] (abs(mu) < 0.008))",adaptive,-7244253119129237588,2.0,3.0,-5.816750677394358E-4,yes,"10 10 10 10 10",100,0.25
AbstractFuelControl_M1,"□_[11.0, 50.0] ((((throttle < 8.8) && ◇_[0.0, 0.05] (40.0 < throttle)) || ((40.0 < throttle) && ◇_[0.0, 0.05] (throttle < 8.8))) ==> □_[1.0, 5.0] (abs(mu) < 0.008))",adaptive,1890457994316288635,3.0,5.0,-6.095322721073673E-4,yes,"10 10 10 10 10",100,0.25
AbstractFuelControl_M1,"□_[11.0, 50.0] ((((throttle < 8.8) && ◇_[0.0, 0.05] (40.0 < throttle)) || ((40.0 < throttle) && ◇_[0.0, 0.05] (throttle < 8.8))) ==> □_[1.0, 5.0] (abs(mu) < 0.008))",adaptive,3597180927021615465,1.0,1.0,-3.5082899539663065E-4,yes,"10 10 10 10 10",100,0.25
AbstractFuelControl_M1,"□_[11.0, 50.0] ((((throttle < 8.8) && ◇_[0.0, 0.05] (40.0 < throttle)) || ((40.0 < throttle) && ◇_[0.0, 0.05] (throttle < 8.8))) ==> □_[1.0, 5.0] (abs(mu) < 0.008))",adaptive,-5347842971511597446,1.0,2.0,-4.0021373270372057E-4,yes,"10 10 10 10 10",100,0.25
AbstractFuelControl_M1,"□_[11.0, 50.0] ((((throttle < 8.8) && ◇_[0.0, 0.05] (40.0 < throttle)) || ((40.0 < throttle) && ◇_[0.0, 0.05] (throttle < 8.8))) ==> □_[1.0, 5.0] (abs(mu) < 0.008))",adaptive,-3088094382443766117,2.0,3.0,-3.382278201578062E-4,yes,"10 10 10 10 10",100,0.25
AbstractFuelControl_M1,"□_[11.0, 50.0] ((((throttle < 8.8) && ◇_[0.0, 0.05] (40.0 < throttle)) || ((40.0 < throttle) && ◇_[0.0, 0.05] (throttle < 8.8))) ==> □_[1.0, 5.0] (abs(mu) < 0.008))",adaptive,1904118176485440546,6.0,11.0,-5.963566710367532E-4,yes,"10 10 10 10 10",100,0.25
AbstractFuelControl_M1,"□_[11.0, 50.0] ((((throttle < 8.8) && ◇_[0.0, 0.05] (40.0 < throttle)) || ((40.0 < throttle) && ◇_[0.0, 0.05] (throttle < 8.8))) ==> □_[1.0, 5.0] (abs(mu) < 0.008))",adaptive,1814447706881789033,1.0,1.0,-5.982969511975147E-4,yes,"10 10 10 10 10",100,0.25
AbstractFuelControl_M1,"□_[11.0, 50.0] ((((throttle < 8.8) && ◇_[0.0, 0.05] (40.0 < throttle)) || ((40.0 < throttle) && ◇_[0.0, 0.05] (throttle < 8.8))) ==> □_[1.0, 5.0] (abs(mu) < 0.008))",adaptive,4587662410532011296,3.0,5.0,-6.063657553920868E-4,yes,"10 10 10 10 10",100,0.25
