model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget
automatic_transmission,"□_[0.0, 20.0] (RPM < 10000.0)","uniform random",8930961420536443956,100.0,12.0,5229.593525850208,no,4,100
automatic_transmission,"□_[0.0, 20.0] (RPM < 10000.0)","uniform random",5027564224191174885,100.0,13.0,5237.72580815009,no,4,100
automatic_transmission,"□_[0.0, 20.0] (RPM < 10000.0)","uniform random",-1702726027617546570,100.0,12.0,5228.7408613112275,no,4,100
automatic_transmission,"□_[0.0, 20.0] (RPM < 10000.0)","uniform random",5704118054995460492,100.0,12.0,5234.66341280637,no,4,100
automatic_transmission,"□_[0.0, 20.0] (RPM < 10000.0)","uniform random",7938329089922726318,100.0,12.0,5231.790530069434,no,4,100
automatic_transmission,"□_[0.0, 20.0] (RPM < 10000.0)","uniform random",2597640955835708158,100.0,12.0,5230.731692131438,no,4,100
automatic_transmission,"□_[0.0, 20.0] (RPM < 10000.0)","uniform random",-3373523279198630529,100.0,13.0,5226.371640567036,no,4,100
automatic_transmission,"□_[0.0, 20.0] (RPM < 10000.0)","uniform random",-945874369173475924,100.0,13.0,5234.930638177649,no,4,100
automatic_transmission,"□_[0.0, 20.0] (RPM < 10000.0)","uniform random",-2027068886085455778,100.0,13.0,5236.013735699186,no,4,100
automatic_transmission,"□_[0.0, 30.0] (RPM < 10000.0)","uniform random",0,100.0,13.0,5229.4711508688115,no,4,100
automatic_transmission,"□_[0.0, 30.0] (RPM < 10000.0)","uniform random",8930961420536443956,100.0,13.0,5231.7714661565315,no,4,100
automatic_transmission,"□_[0.0, 30.0] (RPM < 10000.0)","uniform random",5027564224191174885,100.0,13.0,5239.961966058542,no,4,100
automatic_transmission,"□_[0.0, 30.0] (RPM < 10000.0)","uniform random",-1702726027617546570,100.0,13.0,5229.962014765157,no,4,100
automatic_transmission,"□_[0.0, 30.0] (RPM < 10000.0)","uniform random",5704118054995460492,100.0,13.0,5234.989093116021,no,4,100
automatic_transmission,"□_[0.0, 30.0] (RPM < 10000.0)","uniform random",7938329089922726318,100.0,13.0,5228.744692296341,no,4,100
automatic_transmission,"□_[0.0, 30.0] (RPM < 10000.0)","uniform random",2597640955835708158,100.0,13.0,5230.358492405141,no,4,100
