model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,exploration ratio,solver
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",6304015054855110897,100.0,15.0,16.647873373376584,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",7326836740652458706,100.0,14.0,12.85781055552684,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-4654762989909935524,100.0,14.0,12.046308870942596,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",5680579321556878413,100.0,16.0,19.61309696621521,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",8523361402286175156,100.0,15.0,11.710388240061704,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-8793992002278010983,100.0,14.0,8.439865059249144,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-6832752530430645995,100.0,14.0,17.4860221814139,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-8632828757254143281,100.0,14.0,18.20714209910713,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",7653167101363501320,100.0,14.0,13.545893396109335,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-5325241907554305955,100.0,14.0,10.964283560438346,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-4974865797526893060,100.0,14.0,9.393149023190446,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",5797184376732379383,100.0,14.0,15.26604990510738,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-7043082859492170042,100.0,14.0,11.052778320146075,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",1054351206546440667,100.0,14.0,18.791831367555744,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-1698289989263789486,100.0,14.0,14.31435393203624,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",4271503187919487070,100.0,14.0,17.545829026711672,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",2738123488075612447,100.0,14.0,13.110303940106192,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",7668562801346824942,100.0,14.0,11.995394596879734,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",8553324326296296413,100.0,14.0,11.290813231026746,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-3749896565471947031,100.0,14.0,17.022738036983682,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-7882717395777916198,100.0,14.0,12.548873613738806,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-4939450756633384265,100.0,14.0,14.78324418854504,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",5427243668593246997,100.0,14.0,8.455323030407456,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",3892085428951512630,100.0,14.0,11.29122436608499,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",8180878249670465210,100.0,14.0,18.229745618708336,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-4744172288224302360,100.0,14.0,13.881968099057914,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",4040048199825755665,100.0,14.0,16.500766718764467,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-4198375351632924143,100.0,14.0,15.8882844087223,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-9051681304203366464,100.0,14.0,14.34112899184079,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-2490761093437814044,100.0,14.0,13.839016788890248,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",7013634195885586820,100.0,14.0,12.056011074003493,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",7581319113371600870,100.0,14.0,9.360365387354534,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",7083993420784521076,100.0,14.0,15.335836575533818,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-1068548847272385508,100.0,14.0,11.692323144043158,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-7254545126000333925,100.0,14.0,15.450077579241125,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",7341473967884344484,100.0,14.0,13.1004184347656,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",6445319955727123257,100.0,14.0,11.37838670185748,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-8737220601831949211,100.0,14.0,17.937962698349295,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",3270757991693583017,100.0,14.0,13.55415491700623,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-1348547246110099287,100.0,14.0,14.919244471469185,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",0,100.0,15.0,15.960911412962844,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",8930961420536443956,100.0,15.0,16.693102923470136,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",5027564224191174885,100.0,15.0,15.189521636613563,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-1702726027617546570,100.0,15.0,17.853042510637053,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",5704118054995460492,100.0,15.0,19.390265565928402,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",7938329089922726318,100.0,15.0,18.786547784901288,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",2597640955835708158,100.0,15.0,11.097127569910072,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-3373523279198630529,100.0,15.0,20.832104751723563,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-945874369173475924,100.0,15.0,18.36633621120805,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-2027068886085455778,100.0,15.0,14.48257346526998,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",6304015054855110897,100.0,14.0,18.107585643532914,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",7326836740652458706,100.0,14.0,16.668604313901,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-4654762989909935524,100.0,14.0,14.659177658012055,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",5680579321556878413,100.0,14.0,19.629575152320612,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",8523361402286175156,100.0,14.0,7.903668505348918,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-8793992002278010983,100.0,14.0,9.931367998587888,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-6832752530430645995,100.0,14.0,16.35068993730924,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-8632828757254143281,100.0,14.0,19.771170757716675,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",7653167101363501320,100.0,14.0,16.8279396396577,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-5325241907554305955,100.0,15.0,11.224820769633766,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-4974865797526893060,100.0,15.0,10.725543180813347,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",5797184376732379383,100.0,15.0,18.372195829422395,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-7043082859492170042,100.0,15.0,7.112895873752649,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",1054351206546440667,100.0,16.0,18.185649640160875,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-1698289989263789486,100.0,16.0,13.628041547697961,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",4271503187919487070,100.0,15.0,16.22537386416775,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",2738123488075612447,100.0,15.0,14.744714810273265,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",7668562801346824942,100.0,15.0,14.917600523427126,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",8553324326296296413,100.0,15.0,12.55639327751041,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-3749896565471947031,100.0,15.0,18.1118408513165,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-7882717395777916198,100.0,15.0,13.037542437022097,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-4939450756633384265,100.0,15.0,14.256185402608565,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",5427243668593246997,100.0,15.0,9.82165276312773,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",3892085428951512630,100.0,15.0,10.45691184004005,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",8180878249670465210,100.0,15.0,16.20662766720922,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-4744172288224302360,100.0,15.0,14.573774954008059,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",4040048199825755665,100.0,15.0,16.193036226946802,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-4198375351632924143,100.0,15.0,16.24820028372173,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-9051681304203366464,100.0,15.0,17.31161929608004,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-2490761093437814044,100.0,15.0,13.775603052253985,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",7013634195885586820,100.0,15.0,14.20471008077024,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",7581319113371600870,100.0,15.0,11.922284545820816,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",7083993420784521076,100.0,14.0,18.33427766610859,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-1068548847272385508,100.0,14.0,13.544365071526315,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",-7254545126000333925,100.0,14.0,17.861754128788803,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",7341473967884344484,100.0,14.0,9.578434113092328,no,4,100,,
automatic_transmission,"□_[0.0, 30.0] (speed < 135.0)","uniform random",6445319955727123257,100.0,14.0,13.707536718548226,no,4,100,,
