model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,solver,exploration ratio
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-7352289279656071959,300.0,53.0,6.38469001732858,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",3246824289411322712,300.0,53.0,1.3755668973514759,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-2458494173300514058,300.0,52.0,4.8860715395386904,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",7805672277510337551,300.0,53.0,8.01323651672687,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",706745218043169146,189.0,33.0,-1.1413713120779647,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",8842138635619514329,300.0,53.0,2.2050049104686877,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-6818448355537721560,300.0,53.0,4.478619570195995,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-1981344342435528032,300.0,53.0,2.678035464000736,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",751891830300595596,300.0,53.0,5.27102067154599,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-1514772349270093906,300.0,53.0,0.02926849665427511,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-8339588384014115876,300.0,53.0,5.726210117952299,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",7488902886581963447,300.0,53.0,0.30174445373786085,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-3627899327605571697,300.0,53.0,5.896121828272186,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",3732199198634492224,300.0,52.0,1.043879442644993,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-7323653595470115108,300.0,53.0,1.1232797033918231,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-6579275538650922204,176.0,31.0,-1.1554102557743064,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-2615314950066970366,300.0,53.0,10.61250062039904,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-5240889102638765084,300.0,53.0,3.9589419614096144,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-2153262851375773616,300.0,53.0,5.4905326731298345,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",8731021664529721764,300.0,53.0,0.04114688765560004,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",4115814338378875719,300.0,53.0,11.144407967373809,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-4878859633537431331,300.0,53.0,2.0482062135252335,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",5203527245770544754,300.0,53.0,3.2179515412233357,no,4,300,,
